obs_year,Month,SWin,SWout,Albedo,Age,Mean,offset
One,01,298.3454655639117,66.8379563024773,0.2240287318466358,0,0.18781063044437435,0.03621810140226145
One,02,384.1110909973753,81.26999224590163,0.21157939499970588,0,0.18781063044437435,0.02376876455533153
One,03,618.5684611060375,116.26070714841975,0.1879512365382138,0,0.18781063044437435,1.4060609383945155e-4
One,04,645.2060043018018,126.43340537837838,0.19595819712681695,0,0.18781063044437435,0.008147566682442597
One,05,717.3611867741936,132.0334658408602,0.18405437633806757,0,0.18781063044437435,-0.0037562541063067834
One,06,688.2211265185185,116.55780789481481,0.1693609850142816,0,0.18781063044437435,-0.018449645430092754
One,07,734.6609702380953,121.22994423160173,0.16501481519062117,0,0.18781063044437435,-0.022795815253753182
One,08,662.7642370868348,107.2862683417367,0.16187697274269214,0,0.18781063044437435,-0.02593365770168221
One,09,427.0871059932886,62.818987087248324,0.14708706070895872,0,0.18781063044437435,-0.04072356973541563
One,10,467.5441696548793,86.73981495622681,0.18552218289932768,0,0.18781063044437435,-0.0022884475450466735
One,11,336.75264066148935,58.34268042489598,0.1732508475963021,0,0.18781063044437435,-0.014559782848072245
One,12,305.97177275784406,75.89408432207208,0.24804276433086886,0,0.18781063044437435,0.06023213388649451
