Site,age,Albedo
ARM,1,0.174556463
ARM,2,0.165658245
ARM,3,0.180652939
ARM,1,0.176974075
ARM,2,0.192819532
SBC Grass,3,0.204
SBC Grass,4,0.192
SBC Grass,5,0.202
SBC Grass,6,0.194
SBC Grass,7,0.193
UIEF,1,0.1908
UIEF,2,0.2055
UIEF,3,0.2362
UIEF,4,0.2239
UIEF,5,0.2018
Kellogg,7,0.2644
Kellogg,8,0.2603
Kellogg,9,0.2644
