Month,Mean,n,SD,offset
01,0.12667100958665425,4,0.006166595314807563,0.018259312352832978
02,0.11742518046305699,4,0.007630306100885974,0.009013483229235716
03,0.11213394203826085,4,0.0051995111681160545,0.0037222448044395874
04,0.11250838912353349,4,0.002841208972942367,0.00409669188971222
05,0.10394042341088845,4,0.005382665749319938,-0.004471273822932824
06,0.09747095500467598,4,0.0061239424393933805,-0.01094074222914529
07,0.0955862699879173,4,0.006621237285252498,-0.012825427245903964
08,0.09741969133100287,4,0.0062234269646746715,-0.010992005902818413
09,0.09771920241650398,4,0.010926812187667365,-0.010692494817317297
10,0.10397166051505738,4,0.010996760939559034,-0.0044400367187638935
11,0.11746427109167272,4,0.012873426139421322,0.009052573857851444
12,0.11862937183663105,4,0.018674264147698946,0.010217674602809774
